Number HPLC Vial	Number HPLC Vial_corr	Treatment	Strain	Type	MBOA	TP	Exp	Note		"# Type: C (Culture), SN (Supernatant), SN_Filt (SN, 0.22 um filter), P (Pellet, washed), P_Lys (Pellet, washed and lysed), Ctrl (t0 just medium), A (""enzyme"" Assay)"
77	77	LMX9231	LMX9231	C	TSB_MBOA	72h	25CMP18	Objective3		
78	17	NBC	NBC	Ctrl	TSB_MBOANew	0h	25CMP18			
79	79	LMB2	LMB2	C	TSB_MBOA	72h	25CMP18	Objective3		
80	80	NBC	NBC	C	TSB_MBOA	68h	25CMP16			
81	81	P	LMB2	A	MeOH	0h	25CMP18	Objective2		
82	82	NBC>10kDa_Heat	NBC	A	MeOH	3h	25CMP18	Objective2		
83	83	LMB2_C_1:3 dil	LMB2	C_Dil	TSB_MBOA	76h	25CMP18	Objective3		
84	84	NBC>10kDa	NBC	A	MBOA	3h	25CMP18	Objective2		
85	85	NBC>10kDa_Heat	NBC	A	MBOA	0h	25CMP18	Objective2		
86	86	S>10kDa	LMB2	A	MeOH	0h	25CMP18	Objective2		
87	87	MM	Buffer_Ctrl	A	MeOH	0h	25CMP18	Objective2		
